genes	cluster
CEG49742	CEG49742	25
CEG47210	CEG47210	25
CEG38227	CEG38227	25
CEG44933	CEG44933	25
CEG40786	CEG40786	25
CEG37418	CEG37418	25
CEG37103	CEG37103	25
CEG45579	CEG45579	25
CEG41129	CEG41129	25
CEG46147	CEG46147	25
CEG49435	CEG49435	25
CEG38781	CEG38781	25
CEG40160	CEG40160	25
CEG40777	CEG40777	25
CEG47715	CEG47715	25
CEG49843	CEG49843	25
CEG43267	CEG43267	25
CEG36451	CEG36451	25
CEG38939	CEG38939	25
CEG35155	CEG35155	25
CEG49366	CEG49366	25
CEG43148	CEG43148	25
CEG39938	CEG39938	25
CEG36295	CEG36295	25
CEG41383	CEG41383	25
CEG44903	CEG44903	25
CEG42888	CEG42888	25
CEG42210	CEG42210	25
CEG36118	CEG36118	25
CEG35261	CEG35261	25
ENSRNAG00050152980	ENSRNAG00050152980	25
CEG37043	CEG37043	25
ENSRNAG00050153060	ENSRNAG00050153060	25
CEG40109	CEG40109	25
CEG45168	CEG45168	25
CEG49975	CEG49975	25
CEG43438	CEG43438	26
CEG35379	CEG35379	26
CEG45412	CEG45412	26
CEG47883	CEG47883	26
CEG43835	CEG43835	26
CEG36375	CEG36375	26
CEG40988	CEG40988	26
CEG40291	CEG40291	26
CEG39970	CEG39970	26
CEG37550	CEG37550	26
CEG35140	CEG35140	26
CEG38091	CEG38091	26
CEG42177	CEG42177	26
CEG41505	CEG41505	26
CEG44012	CEG44012	26
CEG41658	CEG41658	26
CEG49529	CEG49529	26
CEG36422	CEG36422	26
CEG39139	CEG39139	26
CEG35384	CEG35384	26
CEG47274	CEG47274	26
CEG37941	CEG37941	26
CEG46451	CEG46451	26
CEG45704	CEG45704	26
CEG43492	CEG43492	26
CEG45154	CEG45154	26
CEG41259	CEG41259	26
CEG43887	CEG43887	26
CEG45786	CEG45786	26
CEG44444	CEG44444	26
CEG42204	CEG42204	26
CEG36314	CEG36314	26
CEG48097	CEG48097	26
CEG46568	CEG46568	26
CEG46336	CEG46336	26
CEG43799	CEG43799	26
CEG45823	CEG45823	26
CEG41077	CEG41077	26
CEG38981	CEG38981	26
CEG47478	CEG47478	26
CEG45910	CEG45910	26
CEG42292	CEG42292	26
CEG39658	CEG39658	26
CEG46401	CEG46401	26
CEG44687	CEG44687	26
CEG40552	CEG40552	26
CEG50366	CEG50366	26
CEG37798	CEG37798	26
CEG39021	CEG39021	26
CEG49594	CEG49594	26
CEG40690	CEG40690	26
CEG41336	CEG41336	26
CEG36572	CEG36572	26
CEG47832	CEG47832	26
CEG45187	CEG45187	26
CEG50205	CEG50205	26
CEG37580	CEG37580	26
CEG49350	CEG49350	26
CEG38737	CEG38737	26
CEG49642	CEG49642	26
CEG47310	CEG47310	26
CEG35849	CEG35849	26
CEG44735	CEG44735	26
CEG47432	CEG47432	26
CEG47639	CEG47639	26
CEG39671	CEG39671	26
CEG36762	CEG36762	26
CEG47904	CEG47904	26
CEG48834	CEG48834	26
CEG37549	CEG37549	26
CEG50473	CEG50473	26
CEG40422	CEG40422	26
CEG50040	CEG50040	26
CEG40494	CEG40494	26
CEG41422	CEG41422	26
CEG36227	CEG36227	26
CEG47234	CEG47234	26
CEG40446	CEG40446	26
CEG38744	CEG38744	26
CEG44468	CEG44468	26
CEG47236	CEG47236	26
CEG49040	CEG49040	26
CEG42071	CEG42071	26
CEG48358	CEG48358	26
CEG38902	CEG38902	26
CEG41227	CEG41227	26
CEG48190	CEG48190	26
CEG35367	CEG35367	26
CEG46429	CEG46429	26
CEG44617	CEG44617	26
CEG38379	CEG38379	26
CEG42451	CEG42451	26
CEG43972	CEG43972	26
CEG41759	CEG41759	26
CEG40329	CEG40329	26
CEG40078	CEG40078	26
CEG37293	CEG37293	26
CEG42341	CEG42341	26
CEG49401	CEG49401	26
CEG47041	CEG47041	26
CEG41449	CEG41449	26
CEG40979	CEG40979	26
CEG35336	CEG35336	26
CEG48073	CEG48073	26
CEG48438	CEG48438	26
CEG42392	CEG42392	26
CEG36115	CEG36115	26
CEG36298	CEG36298	26
CEG39171	CEG39171	26
CEG40167	CEG40167	26
CEG37124	CEG37124	26
CEG50432	CEG50432	26
CEG43018	CEG43018	26
CEG45876	CEG45876	26
CEG46874	CEG46874	26
CEG45338	CEG45338	26
CEG41983	CEG41983	26
CEG49789	CEG49789	26
CEG41709	CEG41709	26
CEG43818	CEG43818	27
CEG35720	CEG35720	27
CEG47225	CEG47225	27
CEG41973	CEG41973	27
CEG45150	CEG45150	27
CEG39220	CEG39220	27
CEG49197	CEG49197	27
CEG49567	CEG49567	27
CEG40879	CEG40879	27
CEG38771	CEG38771	27
CEG44552	CEG44552	27
CEG46540	CEG46540	27
CEG45362	CEG45362	27
CEG35087	CEG35087	27
CEG45320	CEG45320	27
CEG46180	CEG46180	27
CEG35298	CEG35298	27
CEG46507	CEG46507	27
CEG44332	CEG44332	27
CEG46977	CEG46977	27
CEG48307	CEG48307	27
CEG44457	CEG44457	27
CEG48210	CEG48210	27
CEG45057	CEG45057	27
CEG46690	CEG46690	27
CEG46046	CEG46046	27
CEG41673	CEG41673	27
CEG50143	CEG50143	27
CEG45633	CEG45633	27
CEG42539	CEG42539	27
CEG48945	CEG48945	27
CEG41086	CEG41086	27
CEG43012	CEG43012	27
CEG35546	CEG35546	27
CEG46262	CEG46262	27
CEG47613	CEG47613	27
CEG48502	CEG48502	27
CEG42359	CEG42359	27
CEG44816	CEG44816	27
CEG47443	CEG47443	27
CEG45352	CEG45352	27
CEG41436	CEG41436	27
CEG39243	CEG39243	27
CEG39026	CEG39026	27
CEG40064	CEG40064	27
CEG43270	CEG43270	27
CEG38725	CEG38725	27
CEG48640	CEG48640	27
CEG38519	CEG38519	27
CEG49277	CEG49277	27
CEG38363	CEG38363	27
CEG42613	CEG42613	27
CEG49458	CEG49458	27
CEG35123	CEG35123	27
CEG40672	CEG40672	27
CEG45883	CEG45883	27
CEG41295	CEG41295	27
CEG42779	CEG42779	27
CEG46958	CEG46958	27
CEG41731	CEG41731	27
CEG41998	CEG41998	27
CEG47885	CEG47885	27
CEG46926	CEG46926	27
CEG38839	CEG38839	27
CEG44354	CEG44354	27
CEG40565	CEG40565	27
CEG46424	CEG46424	27
CEG37772	CEG37772	27
CEG42407	CEG42407	27
CEG35127	CEG35127	27
CEG44582	CEG44582	27
CEG39057	CEG39057	27
CEG48944	CEG48944	27
CEG43271	CEG43271	27
CEG35334	CEG35334	27
CEG37190	CEG37190	27
CEG38342	CEG38342	27
CEG46530	CEG46530	27
CEG35220	CEG35220	27
CEG35439	CEG35439	27
CEG42030	CEG42030	27
CEG44666	CEG44666	27
CEG35649	CEG35649	27
CEG44894	CEG44894	27
CEG41089	CEG41089	27
CEG50306	CEG50306	27
CEG36413	CEG36413	27
CEG49412	CEG49412	27
CEG41626	CEG41626	27
CEG40055	CEG40055	27
CEG37816	CEG37816	27
CEG46529	CEG46529	27
CEG47800	CEG47800	27
CEG36392	CEG36392	27
CEG45809	CEG45809	27
CEG45766	CEG45766	27
CEG48446	CEG48446	27
CEG35555	CEG35555	27
CEG37769	CEG37769	27
CEG49496	CEG49496	27
CEG42857	CEG42857	27
CEG47743	CEG47743	27
CEG41884	CEG41884	27
CEG45129	CEG45129	27
CEG39088	CEG39088	27
CEG43825	CEG43825	27
CEG50293	CEG50293	27
CEG48450	CEG48450	27
CEG42347	CEG42347	27
CEG36773	CEG36773	27
CEG44118	CEG44118	28
CEG37063	CEG37063	28
CEG49583	CEG49583	28
CEG41598	CEG41598	28
CEG48634	CEG48634	28
CEG40052	CEG40052	28
CEG45299	CEG45299	28
CEG46935	CEG46935	28
CEG42678	CEG42678	28
CEG37138	CEG37138	28
CEG45648	CEG45648	28
CEG39221	CEG39221	28
CEG49795	CEG49795	28
CEG48334	CEG48334	28
CEG48272	CEG48272	28
CEG48671	CEG48671	28
CEG44496	CEG44496	28
CEG38966	CEG38966	28
CEG49695	CEG49695	28
CEG36377	CEG36377	28
CEG38172	CEG38172	28
CEG44504	CEG44504	28
CEG42155	CEG42155	28
CEG41294	CEG41294	28
CEG50164	CEG50164	28
CEG40469	CEG40469	28
CEG45437	CEG45437	28
CEG39735	CEG39735	28
CEG39943	CEG39943	28
CEG48316	CEG48316	28
CEG35145	CEG35145	28
CEG41370	CEG41370	28
CEG42664	CEG42664	28
CEG36971	CEG36971	28
CEG48317	CEG48317	28
CEG35209	CEG35209	28
CEG42388	CEG42388	28
CEG45891	CEG45891	28
CEG40346	CEG40346	28
CEG50327	CEG50327	28
CEG44211	CEG44211	28
CEG45994	CEG45994	28
CEG38659	CEG38659	28
CEG45890	CEG45890	28
CEG50081	CEG50081	28
CEG49790	CEG49790	28
CEG39578	CEG39578	28
CEG42946	CEG42946	28
CEG35282	CEG35282	28
CEG36697	CEG36697	28
CEG44887	CEG44887	29
CEG49851	CEG49851	29
CEG50524	CEG50524	29
CEG42768	CEG42768	29
CEG48044	CEG48044	29
CEG49112	CEG49112	29
CEG50100	CEG50100	29
CEG41216	CEG41216	29
CEG47118	CEG47118	29
CEG36997	CEG36997	29
CEG38736	CEG38736	29
CEG41296	CEG41296	29
CEG36347	CEG36347	29
CEG41866	CEG41866	29
CEG47353	CEG47353	29
CEG38012	CEG38012	29
CEG41219	CEG41219	29
CEG41974	CEG41974	29
CEG43717	CEG43717	29
CEG50096	CEG50096	29
CEG37582	CEG37582	29
CEG42759	CEG42759	29
CEG48285	CEG48285	29
CEG37013	CEG37013	29
CEG38847	CEG38847	29
CEG42628	CEG42628	29
CEG41594	CEG41594	29
CEG43993	CEG43993	29
CEG40179	CEG40179	29
CEG39508	CEG39508	29
CEG48524	CEG48524	29
CEG41371	CEG41371	29
CEG48633	CEG48633	29
CEG48800	CEG48800	29
CEG48090	CEG48090	29
CEG47269	CEG47269	29
CEG35138	CEG35138	29
CEG47249	CEG47249	29
CEG41202	CEG41202	29
CEG45533	CEG45533	29
CEG48113	CEG48113	29
CEG47754	CEG47754	29
CEG44881	CEG44881	29
CEG40234	CEG40234	29
CEG44985	CEG44985	29
CEG45357	CEG45357	29
CEG37785	CEG37785	29
CEG48871	CEG48871	29
CEG42940	CEG42940	29
CEG46906	CEG46906	29
CEG38504	CEG38504	29
CEG48765	CEG48765	29
CEG46588	CEG46588	29
CEG40400	CEG40400	29
CEG42187	CEG42187	29
CEG44747	CEG44747	29
CEG44986	CEG44986	29
CEG37551	CEG37551	29
CEG43768	CEG43768	29
CEG48024	CEG48024	29
CEG44683	CEG44683	29
CEG48409	CEG48409	29
CEG39214	CEG39214	29
CEG44132	CEG44132	29
CEG49636	CEG49636	29
CEG47692	CEG47692	29
CEG46442	CEG46442	29
CEG50389	CEG50389	29
CEG40589	CEG40589	29
CEG47202	CEG47202	29
CEG36967	CEG36967	29
CEG43685	CEG43685	30
CEG47877	CEG47877	30
CEG40361	CEG40361	30
CEG39455	CEG39455	30
CEG39202	CEG39202	30
CEG36779	CEG36779	30
CEG39975	CEG39975	30
CEG47473	CEG47473	30
CEG43653	CEG43653	30
CEG46465	CEG46465	30
CEG49782	CEG49782	30
CEG35510	CEG35510	30
CEG48084	CEG48084	30
CEG37193	CEG37193	30
CEG36777	CEG36777	30
CEG48780	CEG48780	30
CEG47721	CEG47721	30
CEG44075	CEG44075	30
CEG38621	CEG38621	30
CEG40340	CEG40340	30
CEG40916	CEG40916	30
CEG47786	CEG47786	31
CEG44083	CEG44083	31
CEG46229	CEG46229	31
CEG46808	CEG46808	31
CEG37520	CEG37520	31
CEG50519	CEG50519	31
CEG39706	CEG39706	31
CEG44107	CEG44107	31
CEG49376	CEG49376	31
CEG44838	CEG44838	31
CEG40924	CEG40924	31
CEG42693	CEG42693	31
CEG43471	CEG43471	31
CEG47327	CEG47327	31
CEG46001	CEG46001	31
CEG36277	CEG36277	31
CEG38691	CEG38691	31
CEG37492	CEG37492	31
CEG35444	CEG35444	31
CEG35489	CEG35489	31
CEG49639	CEG49639	31
CEG48092	CEG48092	31
CEG39708	CEG39708	31
CEG36794	CEG36794	31
CEG42667	CEG42667	31
CEG47358	CEG47358	31
CEG35404	CEG35404	31
CEG37901	CEG37901	31
CEG42629	CEG42629	31
CEG49218	CEG49218	31
CEG49335	CEG49335	31
CEG37274	CEG37274	31
CEG37959	CEG37959	31
CEG38523	CEG38523	31
CEG41799	CEG41799	31
CEG49466	CEG49466	31
CEG38167	CEG38167	31
CEG42035	CEG42035	31
CEG35966	CEG35966	31
CEG37246	CEG37246	31
CEG37422	CEG37422	31
CEG46437	CEG46437	31
CEG42823	CEG42823	31
CEG47285	CEG47285	31
CEG48181	CEG48181	31
CEG50284	CEG50284	31
CEG38499	CEG38499	31
CEG48933	CEG48933	31
CEG41122	CEG41122	31
CEG38830	CEG38830	31
CEG40977	CEG40977	31
CEG35114	CEG35114	31
CEG46675	CEG46675	31
CEG44715	CEG44715	31
CEG36419	CEG36419	31
CEG37423	CEG37423	31
CEG48880	CEG48880	31
CEG44414	CEG44414	31
CEG49701	CEG49701	31
CEG36119	CEG36119	31
CEG47450	CEG47450	31
CEG37527	CEG37527	31
CEG37427	CEG37427	31
CEG46425	CEG46425	31
CEG38796	CEG38796	31
CEG49083	CEG49083	32
CEG37925	CEG37925	32
CEG36770	CEG36770	32
CEG49660	CEG49660	32
CEG45840	CEG45840	32
CEG41489	CEG41489	32
CEG44475	CEG44475	32
CEG47331	CEG47331	32
CEG39479	CEG39479	32
CEG46648	CEG46648	32
CEG45684	CEG45684	32
CEG47522	CEG47522	32
CEG40503	CEG40503	32
CEG45047	CEG45047	32
CEG38502	CEG38502	32
CEG47903	CEG47903	32
CEG43908	CEG43908	32
CEG37799	CEG37799	32
CEG45784	CEG45784	32
CEG49989	CEG49989	33
CEG47919	CEG47919	33
CEG37933	CEG37933	33
CEG41818	CEG41818	33
CEG48244	CEG48244	33
CEG38517	CEG38517	33
CEG42578	CEG42578	33
CEG39605	CEG39605	33
CEG48792	CEG48792	33
CEG46081	CEG46081	33
CEG42883	CEG42883	33
CEG40140	CEG40140	33
CEG46390	CEG46390	33
CEG48058	CEG48058	33
CEG45250	CEG45250	33
CEG38678	CEG38678	33
CEG38979	CEG38979	33
CEG44305	CEG44305	33
CEG44381	CEG44381	33
CEG44497	CEG44497	34
CEG41554	CEG41554	34
CEG36374	CEG36374	34
CEG45501	CEG45501	34
CEG46584	CEG46584	34
CEG41152	CEG41152	34
CEG46809	CEG46809	34
CEG39226	CEG39226	34
CEG37976	CEG37976	34
CEG36984	CEG36984	34
CEG40221	CEG40221	34
CEG39372	CEG39372	34
CEG49013	CEG49013	34
CEG44960	CEG44960	34
CEG38127	CEG38127	34
CEG37650	CEG37650	34
CEG46833	CEG46833	34
CEG41790	CEG41790	34
CEG48627	CEG48627	34
CEG47279	CEG47279	34
CEG37303	CEG37303	34
CEG42080	CEG42080	34
CEG47703	CEG47703	34
CEG35845	CEG35845	34
CEG43478	CEG43478	34
CEG42627	CEG42627	34
CEG39219	CEG39219	34
CEG46776	CEG46776	34
CEG41607	CEG41607	34
CEG39106	CEG39106	34
CEG45375	CEG45375	34
CEG48784	CEG48784	34
CEG41182	CEG41182	34
CEG43254	CEG43254	34
ENSRNAG00050153322	ENSRNAG00050153322	34
CEG49506	CEG49506	34
CEG41398	CEG41398	34
CEG39364	CEG39364	34
CEG46364	CEG46364	34
CEG44435	CEG44435	34
CEG48931	CEG48931	34
CEG50303	CEG50303	34
CEG42984	CEG42984	34
CEG35935	CEG35935	35
CEG41677	CEG41677	35
CEG35491	CEG35491	35
CEG49651	CEG49651	35
CEG49493	CEG49493	35
CEG44624	CEG44624	35
CEG40031	CEG40031	35
CEG49891	CEG49891	35
CEG35340	CEG35340	35
CEG43869	CEG43869	35
CEG35480	CEG35480	35
CEG49063	CEG49063	35
CEG48102	CEG48102	35
CEG42215	CEG42215	35
CEG43352	CEG43352	35
CEG47294	CEG47294	35
CEG45262	CEG45262	36
CEG38149	CEG38149	36
CEG44443	CEG44443	36
CEG50153	CEG50153	36
CEG47660	CEG47660	36
CEG36177	CEG36177	36
CEG45934	CEG45934	36
CEG35162	CEG35162	36
CEG38720	CEG38720	36
CEG47227	CEG47227	36
CEG38266	CEG38266	36
CEG44424	CEG44424	36
CEG47933	CEG47933	36
CEG43032	CEG43032	36
CEG43948	CEG43948	36
CEG43002	CEG43002	36
CEG45594	CEG45594	36
CEG42081	CEG42081	36
CEG39109	CEG39109	36
CEG48716	CEG48716	36
CEG37745	CEG37745	36
CEG42402	CEG42402	36
CEG43782	CEG43782	36
CEG36409	CEG36409	36
CEG46949	CEG46949	36
CEG45488	CEG45488	36
CEG46518	CEG46518	36
CEG37714	CEG37714	36
CEG39794	CEG39794	36
CEG48149	CEG48149	36
CEG42113	CEG42113	36
CEG40893	CEG40893	36
CEG48486	CEG48486	36
CEG46951	CEG46951	36
CEG45159	CEG45159	36
CEG44730	CEG44730	36
CEG43546	CEG43546	36
CEG46386	CEG46386	36
CEG47314	CEG47314	36
CEG40754	CEG40754	36
CEG35257	CEG35257	36
CEG46287	CEG46287	36
CEG42419	CEG42419	36
CEG47477	CEG47477	36
CEG35511	CEG35511	36
CEG40982	CEG40982	36
CEG35264	CEG35264	36
CEG38294	CEG38294	36
CEG38286	CEG38286	36
CEG44487	CEG44487	36
CEG43252	CEG43252	36
CEG42672	CEG42672	36
CEG45351	CEG45351	36
CEG48579	CEG48579	36
CEG42043	CEG42043	36
CEG37537	CEG37537	36
CEG50384	CEG50384	36
CEG44662	CEG44662	36
CEG38240	CEG38240	36
CEG37982	CEG37982	36
CEG36819	CEG36819	36
CEG46705	CEG46705	36
CEG44846	CEG44846	36
CEG44584	CEG44584	36
CEG37670	CEG37670	36
CEG49266	CEG49266	36
CEG46950	CEG46950	36
CEG46672	CEG46672	36
CEG50243	CEG50243	36
CEG41918	CEG41918	36
CEG39147	CEG39147	36
CEG44257	CEG44257	36
CEG39741	CEG39741	36
CEG43027	CEG43027	36
CEG37413	CEG37413	36
CEG38566	CEG38566	36
CEG38426	CEG38426	36
CEG41987	CEG41987	36
CEG40091	CEG40091	36
CEG48844	CEG48844	36
CEG45432	CEG45432	36
CEG48039	CEG48039	36
CEG48849	CEG48849	36
CEG43312	CEG43312	36
CEG42133	CEG42133	36
CEG48986	CEG48986	36
CEG35719	CEG35719	36
CEG38013	CEG38013	36
CEG42928	CEG42928	36
CEG45875	CEG45875	36
CEG45268	CEG45268	36
CEG39967	CEG39967	36
CEG42286	CEG42286	36
ENSRNAG00050153074	ENSRNAG00050153074	36
CEG36198	CEG36198	36
CEG50367	CEG50367	36
CEG43915	CEG43915	36
CEG44164	CEG44164	36
CEG49214	CEG49214	36
CEG41623	CEG41623	36
CEG47053	CEG47053	36
CEG40889	CEG40889	36
CEG38441	CEG38441	36
CEG43135	CEG43135	36
CEG37851	CEG37851	36
CEG42585	CEG42585	36
CEG47147	CEG47147	36
CEG41871	CEG41871	36
CEG45740	CEG45740	36
CEG43226	CEG43226	36
CEG36975	CEG36975	36
CEG45737	CEG45737	36
CEG38911	CEG38911	36
CEG38973	CEG38973	36
CEG39598	CEG39598	36
CEG37934	CEG37934	36
CEG41293	CEG41293	36
CEG45106	CEG45106	37
CEG50024	CEG50024	37
CEG39873	CEG39873	37
CEG47361	CEG47361	37
CEG40853	CEG40853	37
CEG50209	CEG50209	37
CEG36000	CEG36000	37
CEG36739	CEG36739	37
CEG49009	CEG49009	37
CEG35919	CEG35919	37
CEG35378	CEG35378	37
CEG35502	CEG35502	37
CEG45515	CEG45515	37
CEG36213	CEG36213	37
CEG41916	CEG41916	37
CEG37827	CEG37827	37
CEG42733	CEG42733	37
CEG36741	CEG36741	37
CEG40143	CEG40143	37
CEG41310	CEG41310	37
CEG43232	CEG43232	37
CEG37086	CEG37086	37
CEG44950	CEG44950	37
CEG46999	CEG46999	37
CEG38660	CEG38660	37
CEG42251	CEG42251	37
CEG36143	CEG36143	37
CEG43871	CEG43871	37
CEG41120	CEG41120	37
CEG48509	CEG48509	37
CEG43485	CEG43485	37
CEG41090	CEG41090	38
CEG46524	CEG46524	38
CEG44007	CEG44007	38
CEG50251	CEG50251	38
CEG40194	CEG40194	38
CEG35602	CEG35602	38
CEG41592	CEG41592	38
CEG47116	CEG47116	38
CEG46976	CEG46976	38
CEG36970	CEG36970	38
CEG38602	CEG38602	38
CEG44407	CEG44407	38
CEG36004	CEG36004	38
CEG41846	CEG41846	38
CEG39939	CEG39939	38
CEG36231	CEG36231	38
CEG40057	CEG40057	38
CEG46857	CEG46857	38
CEG49738	CEG49738	38
CEG44836	CEG44836	38
CEG45184	CEG45184	38
CEG40701	CEG40701	38
CEG41305	CEG41305	38
CEG46170	CEG46170	38
ENSRNAG00050153246	ENSRNAG00050153246	38
CEG40330	CEG40330	38
CEG38952	CEG38952	38
CEG48787	CEG48787	38
CEG36059	CEG36059	38
CEG46559	CEG46559	38
CEG44669	CEG44669	38
CEG49987	CEG49987	38
CEG38159	CEG38159	41
CEG45332	CEG45332	41
CEG36711	CEG36711	41
CEG40441	CEG40441	41
CEG35517	CEG35517	41
CEG37640	CEG37640	41
CEG45578	CEG45578	41
CEG40166	CEG40166	41
CEG43364	CEG43364	41
CEG48015	CEG48015	41
CEG40041	CEG40041	41
CEG45580	CEG45580	41
CEG48788	CEG48788	41
CEG39679	CEG39679	41
CEG40758	CEG40758	41
CEG45205	CEG45205	41
CEG37947	CEG37947	41
CEG43812	CEG43812	41
CEG37627	CEG37627	41
CEG49027	CEG49027	41
CEG37157	CEG37157	41
CEG36966	CEG36966	41
CEG41585	CEG41585	41
CEG40062	CEG40062	41
CEG47917	CEG47917	41
CEG50200	CEG50200	41
CEG46264	CEG46264	41
CEG39063	CEG39063	41
CEG50248	CEG50248	41
CEG35462	CEG35462	41
CEG46942	CEG46942	41
CEG35129	CEG35129	41
CEG40847	CEG40847	41
CEG49473	CEG49473	41
CEG35729	CEG35729	41
CEG50275	CEG50275	41
CEG47038	CEG47038	41
CEG36936	CEG36936	41
CEG49677	CEG49677	41
CEG48223	CEG48223	41
CEG37430	CEG37430	41
CEG44749	CEG44749	41
CEG43955	CEG43955	41
CEG37511	CEG37511	41
CEG47823	CEG47823	41
CEG49704	CEG49704	41
CEG42843	CEG42843	41
CEG42654	CEG42654	41
CEG38114	CEG38114	41
CEG36097	CEG36097	41
CEG36237	CEG36237	41
CEG41556	CEG41556	41
CEG46119	CEG46119	41
CEG38644	CEG38644	41
CEG39363	CEG39363	41
CEG44528	CEG44528	41
CEG44190	CEG44190	41
CEG47825	CEG47825	41
CEG39883	CEG39883	41
CEG45109	CEG45109	41
CEG36127	CEG36127	41
CEG45919	CEG45919	41
CEG44948	CEG44948	41
CEG42666	CEG42666	41
CEG36023	CEG36023	41
CEG36273	CEG36273	41
CEG48230	CEG48230	41
CEG36332	CEG36332	41
CEG44061	CEG44061	41
CEG37732	CEG37732	41
CEG40597	CEG40597	41
CEG49934	CEG49934	41
CEG50231	CEG50231	41
CEG44684	CEG44684	41
CEG47615	CEG47615	41
CEG35450	CEG35450	41
CEG43100	CEG43100	41
CEG41936	CEG41936	41
CEG49456	CEG49456	41
CEG48217	CEG48217	41
CEG48404	CEG48404	41
CEG37306	CEG37306	41
CEG46645	CEG46645	41
CEG39840	CEG39840	41
CEG48398	CEG48398	41
CEG36963	CEG36963	41
CEG48789	CEG48789	41
CEG45950	CEG45950	41
CEG40274	CEG40274	41
CEG40915	CEG40915	41
CEG42739	CEG42739	41
CEG41155	CEG41155	41
CEG40868	CEG40868	41
CEG49245	CEG49245	41
CEG44989	CEG44989	41
CEG36712	CEG36712	41
CEG38975	CEG38975	41
CEG44501	CEG44501	41
CEG48067	CEG48067	41
CEG36911	CEG36911	41
CEG38250	CEG38250	41
CEG46545	CEG46545	41
CEG41119	CEG41119	41
CEG42554	CEG42554	41
CEG37861	CEG37861	41
CEG48587	CEG48587	41
CEG49770	CEG49770	41
CEG43692	CEG43692	41
CEG46560	CEG46560	41
CEG39653	CEG39653	41
CEG42318	CEG42318	41
CEG48265	CEG48265	41
CEG39647	CEG39647	41
CEG36580	CEG36580	41
CEG45346	CEG45346	41
CEG41715	CEG41715	41
CEG45652	CEG45652	41
CEG38598	CEG38598	41
CEG49972	CEG49972	41
CEG45886	CEG45886	41
CEG38354	CEG38354	41
CEG38484	CEG38484	41
CEG40544	CEG40544	41
CEG40474	CEG40474	41
CEG50196	CEG50196	41
CEG49444	CEG49444	41
CEG45723	CEG45723	41
CEG45193	CEG45193	41
CEG39430	CEG39430	41
CEG41583	CEG41583	41
CEG37949	CEG37949	41
CEG39861	CEG39861	41
CEG46076	CEG46076	41
CEG35734	CEG35734	41
CEG41977	CEG41977	41
CEG38376	CEG38376	41
CEG49520	CEG49520	41
CEG36962	CEG36962	41
CEG41532	CEG41532	41
CEG35877	CEG35877	41
CEG43575	CEG43575	41
CEG41266	CEG41266	41
CEG43250	CEG43250	41
CEG44147	CEG44147	41
CEG48193	CEG48193	41
CEG38290	CEG38290	41
CEG45701	CEG45701	41
CEG48086	CEG48086	41
CEG45174	CEG45174	41
CEG50105	CEG50105	41
CEG35612	CEG35612	41
CEG36096	CEG36096	41
CEG48811	CEG48811	41
CEG41743	CEG41743	41
CEG37906	CEG37906	41
CEG49819	CEG49819	41
CEG40054	CEG40054	41
CEG47766	CEG47766	41
CEG40546	CEG40546	41
CEG42547	CEG42547	41
CEG41012	CEG41012	41
CEG48146	CEG48146	41
CEG49049	CEG49049	41
CEG37254	CEG37254	41
CEG38201	CEG38201	41
CEG47080	CEG47080	41
CEG38643	CEG38643	41
CEG48147	CEG48147	41
CEG36370	CEG36370	41
CEG47966	CEG47966	41
CEG46689	CEG46689	41
CEG36520	CEG36520	41
CEG40843	CEG40843	41
CEG45175	CEG45175	41
CEG37163	CEG37163	41
CEG36015	CEG36015	41
CEG37002	CEG37002	41
CEG41879	CEG41879	41
CEG37118	CEG37118	41
CEG35631	CEG35631	41
CEG41094	CEG41094	41
CEG44341	CEG44341	41
CEG40345	CEG40345	41
CEG39603	CEG39603	41
CEG38301	CEG38301	41
CEG44503	CEG44503	41
CEG48278	CEG48278	41
CEG50479	CEG50479	41
CEG43743	CEG43743	41
CEG44714	CEG44714	41
CEG40398	CEG40398	41
CEG45545	CEG45545	41
CEG41858	CEG41858	41
CEG50499	CEG50499	41
CEG37374	CEG37374	41
CEG44851	CEG44851	41
CEG43829	CEG43829	41
CEG35586	CEG35586	41
CEG42880	CEG42880	41
CEG39809	CEG39809	41
CEG41584	CEG41584	41
CEG48352	CEG48352	41
CEG45247	CEG45247	41
CEG45900	CEG45900	41
CEG44557	CEG44557	41
CEG36841	CEG36841	41
CEG36034	CEG36034	41
CEG49095	CEG49095	41
CEG38110	CEG38110	41
CEG45718	CEG45718	41
CEG43861	CEG43861	41
CEG50048	CEG50048	41
CEG41353	CEG41353	41
CEG46688	CEG46688	41
CEG36902	CEG36902	41
CEG46014	CEG46014	41
CEG48431	CEG48431	41
CEG45849	CEG45849	41
CEG40803	CEG40803	41
CEG40949	CEG40949	41
CEG35363	CEG35363	41
CEG39062	CEG39062	41
CEG45585	CEG45585	41
CEG46508	CEG46508	41
CEG45592	CEG45592	41
CEG38946	CEG38946	41
CEG49093	CEG49093	41
CEG36898	CEG36898	41
CEG43712	CEG43712	41
CEG41393	CEG41393	41
CEG40667	CEG40667	41
CEG46947	CEG46947	41
CEG38790	CEG38790	41
CEG43953	CEG43953	41
CEG36461	CEG36461	41
CEG35936	CEG35936	41
CEG45010	CEG45010	41
CEG42261	CEG42261	41
CEG38400	CEG38400	41
CEG36371	CEG36371	41
CEG39654	CEG39654	41
CEG47224	CEG47224	41
CEG49968	CEG49968	41
CEG43171	CEG43171	41
CEG45333	CEG45333	41
CEG37900	CEG37900	41
